source,repo,build_id,run_number,event,status,conclusion,created_at,started_at,updated_at,duration_sec,head_sha,branch,commit_timestamp,commit_message_len,additions,deletions,total_changes,files_changed,run_attempt,is_failed
synthetic,synthetic/repo-1,100000,1,push,completed,success,2026-08-18T19:59:25.988038+00:00,2026-08-18T19:59:25.988038+00:00,2026-08-18T20:00:45.988038+00:00,80.0,sha00000000,main,2026-08-18T19:59:25.988038+00:00,20,3,2,5,1,2,0
synthetic,synthetic/repo-2,100001,2,push,completed,success,2026-08-18T18:59:25.988038+00:00,2026-08-18T18:59:25.988038+00:00,2026-08-18T19:00:58.988038+00:00,93.0,sha00000001,main,2026-08-18T18:59:25.988038+00:00,23,10,7,17,2,1,0
synthetic,synthetic/repo-3,100002,3,push,completed,success,2026-08-18T17:59:25.988038+00:00,2026-08-18T17:59:25.988038+00:00,2026-08-18T18:01:11.988038+00:00,106.0,sha00000002,main,2026-08-18T17:59:25.988038+00:00,26,17,12,29,3,1,0
synthetic,synthetic/repo-4,100003,4,push,completed,success,2026-08-18T16:59:25.988038+00:00,2026-08-18T16:59:25.988038+00:00,2026-08-18T17:01:24.988038+00:00,119.0,sha00000003,main,2026-08-18T16:59:25.988038+00:00,29,24,17,41,4,1,0
synthetic,synthetic/repo-1,100004,5,push,completed,success,2026-08-18T15:59:25.988038+00:00,2026-08-18T15:59:25.988038+00:00,2026-08-18T16:01:37.988038+00:00,132.0,sha00000004,main,2026-08-18T15:59:25.988038+00:00,32,31,22,53,5,1,0
synthetic,synthetic/repo-2,100005,6,push,completed,success,2026-08-18T14:59:25.988038+00:00,2026-08-18T14:59:25.988038+00:00,2026-08-18T15:01:50.988038+00:00,145.0,sha00000005,main,2026-08-18T14:59:25.988038+00:00,35,38,27,65,6,1,0
synthetic,synthetic/repo-3,100006,7,push,completed,success,2026-08-18T13:59:25.988038+00:00,2026-08-18T13:59:25.988038+00:00,2026-08-18T14:02:03.988038+00:00,158.0,sha00000006,main,2026-08-18T13:59:25.988038+00:00,38,45,32,77,7,1,0
synthetic,synthetic/repo-4,100007,8,push,completed,success,2026-08-18T12:59:25.988038+00:00,2026-08-18T12:59:25.988038+00:00,2026-08-18T13:02:16.988038+00:00,171.0,sha00000007,main,2026-08-18T12:59:25.988038+00:00,41,52,37,89,8,1,0
synthetic,synthetic/repo-1,100008,9,push,completed,success,2026-08-18T11:59:25.988038+00:00,2026-08-18T11:59:25.988038+00:00,2026-08-18T12:02:29.988038+00:00,184.0,sha00000008,main,2026-08-18T11:59:25.988038+00:00,44,59,42,101,9,1,0
synthetic,synthetic/repo-2,100009,10,push,completed,success,2026-08-18T10:59:25.988038+00:00,2026-08-18T10:59:25.988038+00:00,2026-08-18T11:02:42.988038+00:00,197.0,sha00000009,main,2026-08-18T10:59:25.988038+00:00,47,66,47,113,10,1,0
synthetic,synthetic/repo-3,100010,11,push,completed,failure,2026-08-18T09:59:25.988038+00:00,2026-08-18T09:59:25.988038+00:00,2026-08-18T10:02:55.988038+00:00,210.0,sha00000010,main,2026-08-18T09:59:25.988038+00:00,50,73,52,125,11,2,1
synthetic,synthetic/repo-4,100011,12,push,completed,success,2026-08-18T08:59:25.988038+00:00,2026-08-18T08:59:25.988038+00:00,2026-08-18T09:03:08.988038+00:00,223.0,sha00000011,main,2026-08-18T08:59:25.988038+00:00,53,80,57,137,12,1,0
synthetic,synthetic/repo-1,100012,13,push,completed,success,2026-08-18T07:59:25.988038+00:00,2026-08-18T07:59:25.988038+00:00,2026-08-18T08:03:21.988038+00:00,236.0,sha00000012,main,2026-08-18T07:59:25.988038+00:00,56,87,62,149,13,1,0
synthetic,synthetic/repo-2,100013,14,push,completed,success,2026-08-18T06:59:25.988038+00:00,2026-08-18T06:59:25.988038+00:00,2026-08-18T07:03:34.988038+00:00,249.0,sha00000013,main,2026-08-18T06:59:25.988038+00:00,59,94,67,161,14,1,0
synthetic,synthetic/repo-3,100014,15,push,completed,success,2026-08-18T05:59:25.988038+00:00,2026-08-18T05:59:25.988038+00:00,2026-08-18T06:03:47.988038+00:00,262.0,sha00000014,main,2026-08-18T05:59:25.988038+00:00,62,101,72,173,15,1,0
synthetic,synthetic/repo-4,100015,16,push,completed,success,2026-08-18T04:59:25.988038+00:00,2026-08-18T04:59:25.988038+00:00,2026-08-18T05:04:00.988038+00:00,275.0,sha00000015,main,2026-08-18T04:59:25.988038+00:00,65,108,77,185,1,1,0
synthetic,synthetic/repo-1,100016,17,push,completed,success,2026-08-18T03:59:25.988038+00:00,2026-08-18T03:59:25.988038+00:00,2026-08-18T04:04:13.988038+00:00,288.0,sha00000016,main,2026-08-18T03:59:25.988038+00:00,68,115,82,197,2,1,0
synthetic,synthetic/repo-2,100017,18,push,completed,success,2026-08-18T02:59:25.988038+00:00,2026-08-18T02:59:25.988038+00:00,2026-08-18T03:04:26.988038+00:00,301.0,sha00000017,main,2026-08-18T02:59:25.988038+00:00,71,122,87,209,3,1,0
synthetic,synthetic/repo-3,100018,19,push,completed,success,2026-08-18T01:59:25.988038+00:00,2026-08-18T01:59:25.988038+00:00,2026-08-18T02:04:39.988038+00:00,314.0,sha00000018,main,2026-08-18T01:59:25.988038+00:00,74,129,92,221,4,1,0
synthetic,synthetic/repo-4,100019,20,push,completed,success,2026-08-18T00:59:25.988038+00:00,2026-08-18T00:59:25.988038+00:00,2026-08-18T01:04:52.988038+00:00,327.0,sha00000019,main,2026-08-18T00:59:25.988038+00:00,77,136,97,233,5,1,0
