source,repo,build_id,run_number,workflow_name,event,status,conclusion,created_at,started_at,updated_at,duration_sec,head_sha,branch,commit_timestamp,commit_message_len,additions,deletions,total_changes,files_changed,run_attempt,html_url
github_actions,microsoft/TypeScript,33164380460,170,Running Copilot Code Review,dynamic,completed,success,2026-08-28T10:42:34Z,2026-08-28T10:42:34Z,2026-08-28T10:45:55Z,201.0,e26b8d24bee09bf66d59941912166c5aa7975d20,main,2026-08-27T22:52:47Z,52,609,115,724,11,1,https://github.com/microsoft/TypeScript/actions/runs/33164380460
github_actions,microsoft/TypeScript,33161546727,169,Running Copilot Code Review,dynamic,completed,success,2026-08-28T09:58:37Z,2026-08-28T09:58:37Z,2026-08-28T10:01:01Z,144.0,e26b8d24bee09bf66d59941912166c5aa7975d20,main,2026-08-27T22:52:47Z,52,609,115,724,11,1,https://github.com/microsoft/TypeScript/actions/runs/33161546727
github_actions,microsoft/TypeScript,33159191825,31578,CodeQL,pull_request,completed,success,2026-08-28T09:23:50Z,2026-08-28T09:23:50Z,2026-08-28T09:29:09Z,319.0,459b499786e3c1d8200010fd7318799d33e4a91d,fix/64058,2026-08-28T09:13:09Z,74,272,6,278,9,1,https://github.com/microsoft/TypeScript/actions/runs/33159191825
github_actions,microsoft/TypeScript,33159191747,36285,CI,pull_request,completed,success,2026-08-28T09:23:50Z,2026-08-28T09:23:50Z,2026-08-28T09:45:45Z,1315.0,459b499786e3c1d8200010fd7318799d33e4a91d,fix/64058,2026-08-28T09:13:09Z,74,272,6,278,9,1,https://github.com/microsoft/TypeScript/actions/runs/33159191747
github_actions,microsoft/TypeScript,33159172854,31577,CodeQL,pull_request,completed,success,2026-08-28T09:23:34Z,2026-08-28T09:23:34Z,2026-08-28T09:29:35Z,361.0,f199fb7d9165e2151bd505e15716e936b21ca125,fix/64058,2026-08-28T07:53:55Z,74,155,18,173,6,1,https://github.com/microsoft/TypeScript/actions/runs/33159172854
github_actions,microsoft/TypeScript,33159172901,36284,CI,pull_request,completed,success,2026-08-28T09:23:34Z,2026-08-28T09:23:34Z,2026-08-28T09:44:15Z,1241.0,f199fb7d9165e2151bd505e15716e936b21ca125,fix/64058,2026-08-28T07:53:55Z,74,155,18,173,6,1,https://github.com/microsoft/TypeScript/actions/runs/33159172901
github_actions,microsoft/TypeScript,33153725189,168,Running Copilot Code Review,dynamic,completed,success,2026-08-28T08:02:06Z,2026-08-28T08:02:06Z,2026-08-28T08:04:42Z,156.0,e26b8d24bee09bf66d59941912166c5aa7975d20,main,2026-08-27T22:52:47Z,52,609,115,724,11,1,https://github.com/microsoft/TypeScript/actions/runs/33153725189
github_actions,microsoft/TypeScript,33153720937,36283,CI,pull_request,completed,failure,2026-08-28T08:02:03Z,2026-08-28T08:02:03Z,2026-08-28T08:22:56Z,1253.0,f199fb7d9165e2151bd505e15716e936b21ca125,fix/64058,2026-08-28T07:53:55Z,74,155,18,173,6,1,https://github.com/microsoft/TypeScript/actions/runs/33153720937
github_actions,microsoft/TypeScript,33153720896,31576,CodeQL,pull_request,completed,success,2026-08-28T08:02:03Z,2026-08-28T08:02:03Z,2026-08-28T08:07:09Z,306.0,f199fb7d9165e2151bd505e15716e936b21ca125,fix/64058,2026-08-28T07:53:55Z,74,155,18,173,6,1,https://github.com/microsoft/TypeScript/actions/runs/33153720896
github_actions,microsoft/TypeScript,33150339733,36282,CI,pull_request,completed,success,2026-08-28T07:07:58Z,2026-08-28T07:07:58Z,2026-08-28T07:27:04Z,1146.0,9984da2a4749a0300a4039cfeb2ac41b11e1a34b,add-TupleTypeReference,2026-08-28T07:07:49Z,53,1,1,2,1,1,https://github.com/microsoft/TypeScript/actions/runs/33150339733
github_actions,microsoft/TypeScript,33150339820,31575,CodeQL,pull_request,completed,success,2026-08-28T07:07:58Z,2026-08-28T07:07:58Z,2026-08-28T07:13:08Z,310.0,9984da2a4749a0300a4039cfeb2ac41b11e1a34b,add-TupleTypeReference,2026-08-28T07:07:49Z,53,1,1,2,1,1,https://github.com/microsoft/TypeScript/actions/runs/33150339820
github_actions,microsoft/TypeScript,33150030057,31574,CodeQL,pull_request,completed,success,2026-08-28T07:02:53Z,2026-08-28T07:02:53Z,2026-08-28T07:09:17Z,384.0,f0cdcd7a08f103ce6f134af241df73cca32b26f3,add-TupleTypeReference,2026-08-28T07:02:42Z,58,8,2,10,2,1,https://github.com/microsoft/TypeScript/actions/runs/33150030057
