source,repo,build_id,run_number,workflow_name,event,status,conclusion,created_at,started_at,updated_at,duration_sec,head_sha,branch,commit_timestamp,commit_message_len,additions,deletions,total_changes,files_changed,run_attempt,html_url
github_actions,tokio-rs/tokio,33163491340,15739,CI,pull_request,completed,failure,2026-08-28T10:28:34Z,2026-08-28T10:28:34Z,2026-08-28T10:51:20Z,1366.0,c503184b7300fafa3bc1940ea2c64994dc863611,tests/reenable-rt-handle-block-on-io-shutdown,2026-08-28T10:12:22Z,963,8,22,30,1,1,https://github.com/tokio-rs/tokio/actions/runs/33163491340
github_actions,tokio-rs/tokio,33163490983,10439,Pull Request Labeler,pull_request_target,completed,success,2026-08-28T10:28:34Z,2026-08-28T10:28:34Z,2026-08-28T10:28:43Z,9.0,c503184b7300fafa3bc1940ea2c64994dc863611,tests/reenable-rt-handle-block-on-io-shutdown,2026-08-28T10:12:22Z,963,8,22,30,1,1,https://github.com/tokio-rs/tokio/actions/runs/33163490983
github_actions,tokio-rs/tokio,33163491105,14199,Stress Test,pull_request,completed,success,2026-08-28T10:28:34Z,2026-08-28T10:28:34Z,2026-08-28T10:29:40Z,66.0,c503184b7300fafa3bc1940ea2c64994dc863611,tests/reenable-rt-handle-block-on-io-shutdown,2026-08-28T10:12:22Z,963,8,22,30,1,1,https://github.com/tokio-rs/tokio/actions/runs/33163491105
github_actions,tokio-rs/tokio,33142917313,2657,Security Audit,schedule,completed,success,2026-08-28T04:49:18Z,2026-08-28T04:49:18Z,2026-08-28T04:49:50Z,32.0,ea91b33ca57ff0581b38e735cc108f831bccbdaa,master,2026-08-20T06:57:24Z,64,8,8,16,2,1,https://github.com/tokio-rs/tokio/actions/runs/33142917313
github_actions,tokio-rs/tokio,33096835018,17046,Loom,pull_request,completed,success,2026-08-27T17:08:08Z,2026-08-27T17:08:08Z,2026-08-27T19:20:35Z,7947.0,7d48143b4f04f0d62d2f86741580d7d71bebd82e,fix/mutex-fifo-coop-order,2026-08-27T17:08:03Z,52,8,8,16,2,1,https://github.com/tokio-rs/tokio/actions/runs/33096835018
github_actions,tokio-rs/tokio,33096835322,15738,CI,pull_request,completed,failure,2026-08-27T17:08:08Z,2026-08-27T17:08:08Z,2026-08-27T17:29:18Z,1270.0,7d48143b4f04f0d62d2f86741580d7d71bebd82e,fix/mutex-fifo-coop-order,2026-08-27T17:08:03Z,52,8,8,16,2,1,https://github.com/tokio-rs/tokio/actions/runs/33096835322
github_actions,tokio-rs/tokio,33096834934,14198,Stress Test,pull_request,completed,success,2026-08-27T17:08:08Z,2026-08-27T17:08:08Z,2026-08-27T17:09:36Z,88.0,7d48143b4f04f0d62d2f86741580d7d71bebd82e,fix/mutex-fifo-coop-order,2026-08-27T17:08:03Z,52,8,8,16,2,1,https://github.com/tokio-rs/tokio/actions/runs/33096834934
github_actions,tokio-rs/tokio,33096833453,10438,Pull Request Labeler,pull_request_target,completed,success,2026-08-27T17:08:07Z,2026-08-27T17:08:07Z,2026-08-27T17:08:14Z,7.0,7d48143b4f04f0d62d2f86741580d7d71bebd82e,fix/mutex-fifo-coop-order,2026-08-27T17:08:03Z,52,8,8,16,2,1,https://github.com/tokio-rs/tokio/actions/runs/33096833453
github_actions,tokio-rs/tokio,33060392736,15737,CI,pull_request,completed,success,2026-08-27T09:50:38Z,2026-08-27T09:50:38Z,2026-08-27T10:05:48Z,910.0,3fc9de3d5ed48e84fd84ddd75eda9fa1f17cdc1c,duplex-zero-capacity-panic,2026-08-27T09:50:26Z,56,42,23,65,3,1,https://github.com/tokio-rs/tokio/actions/runs/33060392736
github_actions,tokio-rs/tokio,33060392519,14197,Stress Test,pull_request,completed,success,2026-08-27T09:50:38Z,2026-08-27T09:50:38Z,2026-08-27T09:51:43Z,65.0,3fc9de3d5ed48e84fd84ddd75eda9fa1f17cdc1c,duplex-zero-capacity-panic,2026-08-27T09:50:26Z,56,42,23,65,3,1,https://github.com/tokio-rs/tokio/actions/runs/33060392519
