source,repo,build_id,run_number,workflow_name,event,status,conclusion,created_at,started_at,updated_at,duration_sec,head_sha,branch,commit_timestamp,commit_message_len,additions,deletions,total_changes,files_changed,run_attempt,html_url
github_actions,pallets/flask,33136616301,2183,Lock inactive closed issues,schedule,completed,success,2026-08-28T02:40:26Z,2026-08-28T02:40:26Z,2026-08-28T02:40:37Z,11.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/33136616301
github_actions,pallets/flask,33029625035,2182,Lock inactive closed issues,schedule,completed,success,2026-08-27T01:17:29Z,2026-08-27T01:17:29Z,2026-08-27T01:17:40Z,11.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/33029625035
github_actions,pallets/flask,32913731925,2181,Lock inactive closed issues,schedule,completed,success,2026-08-26T00:07:04Z,2026-08-26T00:07:04Z,2026-08-26T00:07:21Z,17.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32913731925
github_actions,pallets/flask,32792263966,2180,Lock inactive closed issues,schedule,completed,success,2026-08-25T00:06:36Z,2026-08-25T00:06:36Z,2026-08-25T00:06:46Z,10.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32792263966
github_actions,pallets/flask,32731289211,2500,Tests,pull_request,completed,success,2026-08-24T13:12:07Z,2026-08-24T13:12:07Z,2026-08-24T13:12:45Z,38.0,2c9cc4a08415ecc2e098d142dfb99deb18d8bb9a,json-serial,2026-08-24T13:06:24Z,55,3,0,3,1,1,https://github.com/pallets/flask/actions/runs/32731289211
github_actions,pallets/flask,32731289007,637,pre-commit,pull_request,completed,success,2026-08-24T13:12:07Z,2026-08-24T13:12:07Z,2026-08-24T13:12:30Z,23.0,2c9cc4a08415ecc2e098d142dfb99deb18d8bb9a,json-serial,2026-08-24T13:06:24Z,55,3,0,3,1,1,https://github.com/pallets/flask/actions/runs/32731289007
github_actions,pallets/flask,32675588856,2179,Lock inactive closed issues,schedule,completed,success,2026-08-24T00:06:14Z,2026-08-24T00:06:14Z,2026-08-24T00:06:27Z,13.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32675588856
github_actions,pallets/flask,32608575627,636,pre-commit,pull_request,completed,failure,2026-08-23T00:43:14Z,2026-08-23T00:43:14Z,2026-08-23T00:43:41Z,27.0,ac7ab71c0b63ce9723a1f86c8a5c75e8dd098436,fix/app-endpoint-typing-and-doc,2026-08-23T00:43:03Z,173,12,1,13,2,1,https://github.com/pallets/flask/actions/runs/32608575627
github_actions,pallets/flask,32608575605,2499,Tests,pull_request,completed,success,2026-08-23T00:43:14Z,2026-08-23T00:43:14Z,2026-08-23T00:43:43Z,29.0,ac7ab71c0b63ce9723a1f86c8a5c75e8dd098436,fix/app-endpoint-typing-and-doc,2026-08-23T00:43:03Z,173,12,1,13,2,1,https://github.com/pallets/flask/actions/runs/32608575605
github_actions,pallets/flask,32606984541,2178,Lock inactive closed issues,schedule,completed,success,2026-08-23T00:06:10Z,2026-08-23T00:06:10Z,2026-08-23T00:06:19Z,9.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32606984541
github_actions,pallets/flask,32539248853,2177,Lock inactive closed issues,schedule,completed,success,2026-08-22T00:06:46Z,2026-08-22T00:06:46Z,2026-08-22T00:06:57Z,11.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32539248853
github_actions,pallets/flask,32431435163,2176,Lock inactive closed issues,schedule,completed,success,2026-08-21T00:07:25Z,2026-08-21T00:07:25Z,2026-08-21T00:07:33Z,8.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32431435163
github_actions,pallets/flask,32316012495,2175,Lock inactive closed issues,schedule,completed,success,2026-08-20T00:06:37Z,2026-08-20T00:06:37Z,2026-08-20T00:06:49Z,12.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32316012495
github_actions,pallets/flask,32215945590,2498,Tests,pull_request,completed,success,2026-08-19T04:29:30Z,2026-08-19T04:29:30Z,2026-08-19T04:30:11Z,41.0,b8ad0eeeca19c20541533e29ee1d332b5955fd4d,test/config-from-file-missing-silent,2026-08-19T04:28:40Z,137,7,0,7,1,1,https://github.com/pallets/flask/actions/runs/32215945590
github_actions,pallets/flask,32215945678,635,pre-commit,pull_request,completed,success,2026-08-19T04:29:30Z,2026-08-19T04:29:30Z,2026-08-19T04:29:51Z,21.0,b8ad0eeeca19c20541533e29ee1d332b5955fd4d,test/config-from-file-missing-silent,2026-08-19T04:28:40Z,137,7,0,7,1,1,https://github.com/pallets/flask/actions/runs/32215945678
github_actions,pallets/flask,32199921514,2174,Lock inactive closed issues,schedule,completed,success,2026-08-19T00:06:11Z,2026-08-19T00:06:11Z,2026-08-19T00:06:21Z,10.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32199921514
github_actions,pallets/flask,32083198000,2173,Lock inactive closed issues,schedule,completed,success,2026-08-18T00:06:25Z,2026-08-18T00:06:25Z,2026-08-18T00:06:33Z,8.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/32083198000
github_actions,pallets/flask,31980967815,2172,Lock inactive closed issues,schedule,completed,success,2026-08-17T00:05:46Z,2026-08-17T00:05:46Z,2026-08-17T00:05:57Z,11.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/31980967815
github_actions,pallets/flask,31965051429,634,pre-commit,push,completed,success,2026-08-16T18:35:37Z,2026-08-16T18:35:37Z,2026-08-16T18:36:00Z,23.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/31965051429
github_actions,pallets/flask,31965051447,2497,Tests,push,completed,success,2026-08-16T18:35:37Z,2026-08-16T18:35:37Z,2026-08-16T18:36:22Z,45.0,d318b683471101618febed18996405ad26462110,main,2026-08-16T18:35:31Z,12,2,2,4,1,1,https://github.com/pallets/flask/actions/runs/31965051447
github_actions,pallets/flask,31961251622,633,pre-commit,pull_request,completed,success,2026-08-16T17:19:30Z,2026-08-16T17:19:30Z,2026-08-16T17:19:51Z,21.0,54226222a4abe313d46e704068d32511909442d8,docfix-seeked-sought,2026-08-16T17:18:25Z,37,1,1,2,1,1,https://github.com/pallets/flask/actions/runs/31961251622
github_actions,pallets/flask,31961251621,2496,Tests,pull_request,completed,success,2026-08-16T17:19:30Z,2026-08-16T17:19:30Z,2026-08-16T17:20:14Z,44.0,54226222a4abe313d46e704068d32511909442d8,docfix-seeked-sought,2026-08-16T17:18:25Z,37,1,1,2,1,1,https://github.com/pallets/flask/actions/runs/31961251621
github_actions,pallets/flask,31916401879,2171,Lock inactive closed issues,schedule,completed,success,2026-08-16T00:06:06Z,2026-08-16T00:06:06Z,2026-08-16T00:06:22Z,16.0,2a8a38b051fc248865730bf3511bf2e2ea325e81,main,2026-08-11T22:32:49Z,27,1,1,2,1,1,https://github.com/pallets/flask/actions/runs/31916401879
github_actions,pallets/flask,31852582495,2170,Lock inactive closed issues,schedule,completed,success,2026-08-15T00:06:30Z,2026-08-15T00:06:30Z,2026-08-15T00:06:38Z,8.0,2a8a38b051fc248865730bf3511bf2e2ea325e81,main,2026-08-11T22:32:49Z,27,1,1,2,1,1,https://github.com/pallets/flask/actions/runs/31852582495
github_actions,pallets/flask,31756774094,2169,Lock inactive closed issues,schedule,completed,success,2026-08-14T00:16:04Z,2026-08-14T00:16:04Z,2026-08-14T00:16:19Z,15.0,2a8a38b051fc248865730bf3511bf2e2ea325e81,main,2026-08-11T22:32:49Z,27,1,1,2,1,1,https://github.com/pallets/flask/actions/runs/31756774094
